================ Training Loss (Sat Dec  3 21:31:58 2022) ================
(epoch: 71, iters: 320, time: 0.031, data: 0.003) G_GAN: 2.143 G_L1: 39.938 D_real: 0.108 D_fake: 0.169 
(epoch: 71, iters: 720, time: 0.024, data: 0.003) G_GAN: 1.524 G_L1: 32.211 D_real: 0.075 D_fake: 0.879 
(epoch: 72, iters: 336, time: 0.030, data: 0.003) G_GAN: 1.375 G_L1: 28.796 D_real: 0.584 D_fake: 0.127 
(epoch: 72, iters: 736, time: 0.024, data: 0.003) G_GAN: 1.683 G_L1: 37.208 D_real: 0.403 D_fake: 0.366 
(epoch: 73, iters: 352, time: 0.030, data: 0.004) G_GAN: 1.700 G_L1: 37.149 D_real: 0.557 D_fake: 0.208 
(epoch: 73, iters: 752, time: 0.024, data: 0.003) G_GAN: 1.467 G_L1: 27.790 D_real: 0.471 D_fake: 0.191 
(epoch: 74, iters: 368, time: 0.030, data: 0.003) G_GAN: 1.443 G_L1: 30.615 D_real: 0.572 D_fake: 0.319 
(epoch: 74, iters: 768, time: 0.030, data: 0.003) G_GAN: 1.202 G_L1: 35.341 D_real: 0.648 D_fake: 0.310 
(epoch: 75, iters: 384, time: 0.030, data: 0.003) G_GAN: 1.614 G_L1: 36.715 D_real: 0.436 D_fake: 0.233 
(epoch: 75, iters: 784, time: 0.020, data: 0.003) G_GAN: 1.217 G_L1: 27.892 D_real: 0.996 D_fake: 0.201 
(epoch: 76, iters: 400, time: 0.033, data: 0.252) G_GAN: 0.963 G_L1: 30.637 D_real: 0.992 D_fake: 0.175 
(epoch: 77, iters: 16, time: 0.022, data: 0.003) G_GAN: 0.442 G_L1: 34.322 D_real: 2.246 D_fake: 0.145 
(epoch: 77, iters: 416, time: 0.030, data: 0.003) G_GAN: 1.318 G_L1: 28.704 D_real: 0.467 D_fake: 0.263 
(epoch: 78, iters: 32, time: 0.030, data: 0.003) G_GAN: 1.386 G_L1: 25.842 D_real: 1.344 D_fake: 0.102 
(epoch: 78, iters: 432, time: 0.024, data: 0.003) G_GAN: 2.488 G_L1: 35.021 D_real: 0.138 D_fake: 0.161 
(epoch: 79, iters: 48, time: 0.030, data: 0.003) G_GAN: 1.566 G_L1: 33.331 D_real: 0.217 D_fake: 0.323 
(epoch: 79, iters: 448, time: 0.024, data: 0.004) G_GAN: 1.675 G_L1: 28.413 D_real: 0.277 D_fake: 0.357 
(epoch: 80, iters: 64, time: 0.030, data: 0.003) G_GAN: 2.496 G_L1: 37.616 D_real: 0.082 D_fake: 0.178 
(epoch: 80, iters: 464, time: 0.024, data: 0.003) G_GAN: 1.796 G_L1: 33.974 D_real: 0.018 D_fake: 0.391 
(epoch: 81, iters: 80, time: 0.031, data: 0.003) G_GAN: 1.662 G_L1: 34.308 D_real: 0.437 D_fake: 0.292 
(epoch: 81, iters: 480, time: 0.024, data: 0.003) G_GAN: 1.021 G_L1: 27.982 D_real: 2.696 D_fake: 0.098 
(epoch: 82, iters: 96, time: 0.031, data: 0.003) G_GAN: 0.949 G_L1: 29.965 D_real: 0.969 D_fake: 0.280 
(epoch: 82, iters: 496, time: 0.031, data: 0.003) G_GAN: 0.862 G_L1: 29.309 D_real: 0.295 D_fake: 0.414 
(epoch: 83, iters: 112, time: 0.031, data: 0.003) G_GAN: 0.704 G_L1: 36.285 D_real: 2.090 D_fake: 0.296 
(epoch: 83, iters: 512, time: 0.024, data: 0.003) G_GAN: 0.978 G_L1: 32.569 D_real: 1.080 D_fake: 0.141 
(epoch: 84, iters: 128, time: 0.034, data: 0.003) G_GAN: 1.297 G_L1: 33.907 D_real: 0.711 D_fake: 0.263 
(epoch: 84, iters: 528, time: 0.024, data: 0.003) G_GAN: 1.741 G_L1: 29.461 D_real: 0.267 D_fake: 0.525 
(epoch: 85, iters: 144, time: 0.031, data: 0.003) G_GAN: 0.870 G_L1: 33.202 D_real: 1.349 D_fake: 0.425 
(epoch: 85, iters: 544, time: 0.026, data: 0.003) G_GAN: 1.572 G_L1: 29.009 D_real: 0.982 D_fake: 0.094 
(epoch: 86, iters: 160, time: 0.031, data: 0.003) G_GAN: 1.489 G_L1: 26.298 D_real: 0.259 D_fake: 0.184 
